geo_name,geo_sumlevel,geo_id,total_reimbursements_b_2010,total_reimbursements_b_2011,total_reimbursements_b_2012,total_reimbursements_b_2013,total_reimbursements_b_2014
"Stephenson County, IL",county,05000US17177,8157,8431,8069,8019,8496
"Tazewell County, IL",county,05000US17179,9194,9327,9214,9272,9045
"Union County, IL",county,05000US17181,8522,9297,9529,9287,9576
"Vermilion County, IL",county,05000US17183,8679,9545,9100,9165,9699
"Wabash County, IL",county,05000US17185,9393,9692,9643,8991,9902
"Warren County, IL",county,05000US17187,8068,9034,8917,9158,9024
"Washington County, IL",county,05000US17189,10142,9912,9862,9833,11081
"Wayne County, IL",county,05000US17191,8700,9108,9399,8640,9559
"White County, IL",county,05000US17193,9744,10319,10258,9492,9662
"Whiteside County, IL",county,05000US17195,9162,9906,9856,9274,9514
"Will County, IL",county,05000US17197,11018,11175,10963,10868,10931
"Williamson County, IL",county,05000US17199,9396,9908,9530,10102,9691
"Winnebago County, IL",county,05000US17201,9129,9332,9213,9477,9268
"Woodford County, IL",county,05000US17203,8215,8739,8282,8301,8714
"Adams County, IN",county,05000US18001,9024,9372,9048,8864,8908
"Allen County, IN",county,05000US18003,8875,8944,9075,9078,9056
"Bartholomew County, IN",county,05000US18005,8892,9079,9400,8654,8776
"Benton County, IN",county,05000US18007,10472,9302,9659,9438,9475
"Blackford County, IN",county,05000US18009,11365,10890,10711,11153,10495
"Boone County, IN",county,05000US18011,9944,9911,9603,9012,9438
"Brown County, IN",county,05000US18013,7450,8291,8016,8255,7681
"Carroll County, IN",county,05000US18015,10708,9971,10394,9861,9806
"Cass County, IN",county,05000US18017,9922,9894,10342,9703,9987
"Clark County, IN",county,05000US18019,11487,11578,11745,11412,11727
"Clay County, IN",county,05000US18021,10208,11178,11250,10836,10489
"Clinton County, IN",county,05000US18023,10427,10046,9487,9386,9666
"Crawford County, IN",county,05000US18025,10501,10911,10716,9995,10022
"Daviess County, IN",county,05000US18027,10648,11690,11273,11352,10969
"Dearborn County, IN",county,05000US18029,9152,9368,9182,9015,9808
"Decatur County, IN",county,05000US18031,8964,8929,9797,9053,9046
"DeKalb County, IN",county,05000US18033,9484,9000,8730,8472,8880
"Delaware County, IN",county,05000US18035,9646,9863,9650,9484,9391
"Dubois County, IN",county,05000US18037,9435,9709,9255,8741,9031
"Elkhart County, IN",county,05000US18039,8554,9061,8867,8600,9004
"Fayette County, IN",county,05000US18041,9707,10127,10400,9818,9860
"Floyd County, IN",county,05000US18043,10742,11092,10682,10204,10659
"Fountain County, IN",county,05000US18045,10349,9905,10163,8801,9465
"Franklin County, IN",county,05000US18047,8039,8343,8941,8679,8024
"Fulton County, IN",county,05000US18049,9185,9825,10118,8986,8664
"Gibson County, IN",county,05000US18051,9862,9884,10268,11175,10796
"Grant County, IN",county,05000US18053,9291,9757,10099,9866,9682
"Greene County, IN",county,05000US18055,9895,9785,9990,9956,9553
"Hamilton County, IN",county,05000US18057,9315,9571,9392,9363,9303
"Hancock County, IN",county,05000US18059,9679,9910,9519,9291,9056
"Harrison County, IN",county,05000US18061,10729,10907,10902,10543,10362
"Hendricks County, IN",county,05000US18063,9633,10188,9872,9346,9536
"Henry County, IN",county,05000US18065,9607,9347,9659,9582,9796
"Howard County, IN",county,05000US18067,10030,10489,10457,10422,9981
"Huntington County, IN",county,05000US18069,8672,9479,9337,8618,8250
"Jackson County, IN",county,05000US18071,8083,8663,9029,8573,8333
"Jasper County, IN",county,05000US18073,10824,10751,10697,10446,10887
"Jay County, IN",county,05000US18075,9307,9426,9831,9053,9666
"Jefferson County, IN",county,05000US18077,10514,10342,10874,9812,9885
"Jennings County, IN",county,05000US18079,9054,9422,9654,9011,8578
"Johnson County, IN",county,05000US18081,10141,9792,9645,9282,8983
"Knox County, IN",county,05000US18083,11279,11639,10946,10976,11108
"Kosciusko County, IN",county,05000US18085,8713,9162,8992,8685,8867
"LaGrange County, IN",county,05000US18087,7825,8441,8062,7703,7480
"Lake County, IN",county,05000US18089,11596,11725,11839,11615,11709
"LaPorte County, IN",county,05000US18091,9814,9522,9611,9431,9649
"Lawrence County, IN",county,05000US18093,9980,9718,9967,9236,9229
"Madison County, IN",county,05000US18095,10265,10883,10717,10206,10304
"Marion County, IN",county,05000US18097,9848,9988,10067,9643,9576
"Marshall County, IN",county,05000US18099,9568,9026,9543,9262,8862
"Martin County, IN",county,05000US18101,9262,9799,10219,9340,9334
"Miami County, IN",county,05000US18103,9394,10356,10099,9056,9123
"Monroe County, IN",county,05000US18105,8529,8497,8532,8088,7795
"Montgomery County, IN",county,05000US18107,9759,8807,9337,8313,9143
"Morgan County, IN",county,05000US18109,9995,10191,9707,9345,9032
"Newton County, IN",county,05000US18111,11392,10873,9506,9949,10239
"Noble County, IN",county,05000US18113,8416,9248,9030,8610,8556
"Ohio County, IN",county,05000US18115,10153,8658,9520,10605,10306
"Orange County, IN",county,05000US18117,9627,10973,11782,9570,9893
"Owen County, IN",county,05000US18119,9012,9380,9079,8321,8557
"Parke County, IN",county,05000US18121,10640,10700,9984,9002,9361
"Perry County, IN",county,05000US18123,11775,10474,10812,10239,9944
"Pike County, IN",county,05000US18125,9785,10163,9533,9470,8962
"Porter County, IN",county,05000US18127,10461,10568,10672,10863,10869
"Posey County, IN",county,05000US18129,9982,10094,10717,10932,10874
"Pulaski County, IN",county,05000US18131,8977,9281,9778,9425,9293
"Putnam County, IN",county,05000US18133,9872,10841,9958,9143,9579
"Randolph County, IN",county,05000US18135,9422,10214,9199,9275,8690
"Ripley County, IN",county,05000US18137,8518,8786,9176,9265,8744
"Rush County, IN",county,05000US18139,10535,10007,9795,9322,9192
"St. Joseph County, IN",county,05000US18141,8585,8979,8967,8655,8729
"Scott County, IN",county,05000US18143,11220,11524,12236,10958,12156
"Shelby County, IN",county,05000US18145,10712,10650,10893,10032,10017
"Spencer County, IN",county,05000US18147,9460,10305,9704,9320,8910
"Starke County, IN",county,05000US18149,9231,9933,9925,10659,9794
"Steuben County, IN",county,05000US18151,9048,8462,8660,8611,8984
"Sullivan County, IN",county,05000US18153,10189,10177,9733,10059,9981
"Switzerland County, IN",county,05000US18155,11496,11191,10800,10623,10219
"Tippecanoe County, IN",county,05000US18157,10657,10202,9667,9488,9756
"Tipton County, IN",county,05000US18159,10471,10342,10273,10202,10276
"Union County, IN",county,05000US18161,10286,9754,9917,8595,9489
"Vanderburgh County, IN",county,05000US18163,10182,10211,10053,9998,10340
"Vermillion County, IN",county,05000US18165,10674,10902,10202,10569,10590
"Vigo County, IN",county,05000US18167,10693,11202,10951,10712,10778
"Wabash County, IN",county,05000US18169,9061,8553,9140,8716,8624
"Warren County, IN",county,05000US18171,10800,8982,10000,9343,10025
"Warrick County, IN",county,05000US18173,10861,11283,10664,10616,10098
"Washington County, IN",county,05000US18175,10886,11307,11206,10712,10987
"Wayne County, IN",county,05000US18177,10438,10735,10720,10147,10140
"Wells County, IN",county,05000US18179,9210,9503,9622,8953,8847
"White County, IN",county,05000US18181,10574,10238,10269,9612,9407
"Whitley County, IN",county,05000US18183,8555,8372,8550,7900,8115
"Adair County, IA",county,05000US19001,7033,7638,8461,8251,7994
"Adams County, IA",county,05000US19003,9596,9558,8505,9505,8535
"Allamakee County, IA",county,05000US19005,6820,6090,6642,7008,6871
"Appanoose County, IA",county,05000US19007,8119,8537,8378,8866,9095
"Audubon County, IA",county,05000US19009,7676,8382,8443,8346,8851
"Benton County, IA",county,05000US19011,8222,8126,8680,8040,8431
"Black Hawk County, IA",county,05000US19013,8551,8985,8977,9505,9439
"Boone County, IA",county,05000US19015,7522,8438,8820,8366,8481
"Bremer County, IA",county,05000US19017,8257,9119,9422,9319,9391
"Buchanan County, IA",county,05000US19019,8315,8745,8331,8669,9873
"Buena Vista County, IA",county,05000US19021,7885,7480,7787,7800,8144
"Butler County, IA",county,05000US19023,8267,8411,8972,9239,9150
"Calhoun County, IA",county,05000US19025,8454,8873,8991,8877,8767
"Carroll County, IA",county,05000US19027,6723,6830,7337,7264,7386
"Cass County, IA",county,05000US19029,7722,7920,8156,8253,9191
"Cedar County, IA",county,05000US19031,6992,7391,7290,7859,7673
"Cerro Gordo County, IA",county,05000US19033,7155,7287,7355,7635,7732
"Cherokee County, IA",county,05000US19035,7161,7333,8307,8461,7981
"Chickasaw County, IA",county,05000US19037,8600,9998,8469,9167,8954
"Clarke County, IA",county,05000US19039,8938,9073,9145,9340,8293
"Clay County, IA",county,05000US19041,6781,6952,6762,6946,7701
"Clayton County, IA",county,05000US19043,7106,7238,7641,7552,7873
"Clinton County, IA",county,05000US19045,8767,8854,9176,9247,9127
"Crawford County, IA",county,05000US19047,7920,7448,7556,7535,7263
"Dallas County, IA",county,05000US19049,7867,7818,7494,7643,7472
"Davis County, IA",county,05000US19051,7249,7735,8134,7773,8223
"Decatur County, IA",county,05000US19053,8147,8203,8704,9065,8143
"Delaware County, IA",county,05000US19055,7290,7922,7378,7761,8305
"Des Moines County, IA",county,05000US19057,8432,8625,8419,8829,8019
"Dickinson County, IA",county,05000US19059,6613,6881,6972,7218,7052
"Dubuque County, IA",county,05000US19061,7277,7931,7853,8122,8240
"Emmet County, IA",county,05000US19063,7702,7682,9043,8998,8711
"Fayette County, IA",county,05000US19065,8182,8267,8960,9373,9487
"Floyd County, IA",county,05000US19067,8210,8636,8680,9209,8867
"Franklin County, IA",county,05000US19069,7487,8003,8961,7830,8909
"Fremont County, IA",county,05000US19071,9536,10098,9268,10614,10974
"Greene County, IA",county,05000US19073,7654,7506,7621,8025,8535
"Grundy County, IA",county,05000US19075,7893,8362,8288,8329,8833
"Guthrie County, IA",county,05000US19077,8761,8371,8147,7873,8581
"Hamilton County, IA",county,05000US19079,8813,9408,9379,9449,9828
"Hancock County, IA",county,05000US19081,7856,8881,9195,8632,9461
"Hardin County, IA",county,05000US19083,8451,8985,9023,8927,9342
"Harrison County, IA",county,05000US19085,9559,9418,9788,9164,8784
"Henry County, IA",county,05000US19087,6827,6776,7000,7039,7333
"Howard County, IA",county,05000US19089,7615,7305,7668,7499,7585
"Humboldt County, IA",county,05000US19091,7484,8286,8490,8406,8073
"Ida County, IA",county,05000US19093,8404,8606,9906,10513,9645
"Iowa County, IA",county,05000US19095,8071,7774,7849,7934,8330
"Jackson County, IA",county,05000US19097,8224,8515,8329,8157,8130
"Jasper County, IA",county,05000US19099,6767,7250,7314,7480,7044
"Jefferson County, IA",county,05000US19101,7837,7859,8607,8653,9045
"Johnson County, IA",county,05000US19103,6644,7135,7009,7134,7036
"Jones County, IA",county,05000US19105,8146,8989,8513,8918,9030
"Keokuk County, IA",county,05000US19107,7102,7917,7627,9396,8775
"Kossuth County, IA",county,05000US19109,7311,7597,7911,7179,7923
"Lee County, IA",county,05000US19111,7698,8012,7700,7939,7626
"Linn County, IA",county,05000US19113,7949,8218,8474,8185,8419
"Louisa County, IA",county,05000US19115,7527,8343,7529,7649,6785
"Lucas County, IA",county,05000US19117,8174,8311,8300,7967,9345
"Lyon County, IA",county,05000US19119,8450,8353,7946,8221,8504
"Madison County, IA",county,05000US19121,7165,7616,7368,7592,8134
"Mahaska County, IA",county,05000US19123,6945,7588,7671,8013,7593
"Marion County, IA",county,05000US19125,7939,8792,8665,8521,8790
"Marshall County, IA",county,05000US19127,7101,7495,7476,7219,7598
"Mills County, IA",county,05000US19129,8247,9063,8848,9416,8791
"Mitchell County, IA",county,05000US19131,7014,7156,7319,6976,7607
"Monona County, IA",county,05000US19133,8123,8511,8440,8905,9224
"Monroe County, IA",county,05000US19135,8356,7643,7090,8140,7887
"Montgomery County, IA",county,05000US19137,8756,9210,9577,10690,10032
"Muscatine County, IA",county,05000US19139,7906,7852,8327,8521,8635
"O'Brien County, IA",county,05000US19141,7560,7742,8337,7868,8783
"Osceola County, IA",county,05000US19143,7020,6991,7293,8105,8235
"Page County, IA",county,05000US19145,9305,9687,9646,10138,10228
"Palo Alto County, IA",county,05000US19147,7626,8515,8323,8855,9242
"Plymouth County, IA",county,05000US19149,8560,8424,8514,8435,8564
"Pocahontas County, IA",county,05000US19151,8148,8433,8219,8663,8104
"Polk County, IA",county,05000US19153,7815,7950,7761,7799,7712
"Pottawattamie County, IA",county,05000US19155,8410,8909,8451,8525,8588
"Poweshiek County, IA",county,05000US19157,6692,7086,6747,6937,7299
"Ringgold County, IA",county,05000US19159,7936,8066,9100,9314,9018
"Sac County, IA",county,05000US19161,8719,9522,9062,9162,9186
"Scott County, IA",county,05000US19163,9197,9086,9179,8964,8964
"Shelby County, IA",county,05000US19165,8512,8741,8763,9213,9524
"Sioux County, IA",county,05000US19167,7184,7621,8279,8459,8802
"Story County, IA",county,05000US19169,7661,7911,7969,8043,7694
"Tama County, IA",county,05000US19171,8061,8094,8225,8107,8840
"Taylor County, IA",county,05000US19173,7675,8417,9097,9015,9059
"Union County, IA",county,05000US19175,6388,7288,7078,7976,7284
"Van Buren County, IA",county,05000US19177,8173,8072,8117,8205,9746
"Wapello County, IA",county,05000US19179,8395,8687,8693,8905,8953
"Warren County, IA",county,05000US19181,7692,7840,7703,7960,7721
"Washington County, IA",county,05000US19183,7093,7599,7250,8130,8643
"Wayne County, IA",county,05000US19185,7873,8426,9227,8908,8885
"Webster County, IA",county,05000US19187,7606,8412,8280,7780,7915
"Winnebago County, IA",county,05000US19189,7059,6995,7506,7199,8152
"Winneshiek County, IA",county,05000US19191,6695,6896,6573,7017,7366
"Woodbury County, IA",county,05000US19193,8408,8575,8590,8636,8770
"Worth County, IA",county,05000US19195,6492,7110,7681,8092,7203
"Wright County, IA",county,05000US19197,8317,8452,8982,10007,10011
"Allen County, KS",county,05000US20001,9474,9590,9406,9242,9922
"Anderson County, KS",county,05000US20003,9543,9522,9261,10941,9827
"Atchison County, KS",county,05000US20005,7808,8372,8391,8864,9699
"Barber County, KS",county,05000US20007,9675,9968,9223,9588,10381
"Barton County, KS",county,05000US20009,10403,10207,10171,10252,9870
"Bourbon County, KS",county,05000US20011,8277,8392,8693,8154,8895
"Brown County, KS",county,05000US20013,9599,9871,9905,11067,10575
"Butler County, KS",county,05000US20015,9093,9262,9459,9209,8581
"Chase County, KS",county,05000US20017,8320,8303,7782,7706,8438
"Chautauqua County, KS",county,05000US20019,8888,9821,10957,10041,9958
"Cherokee County, KS",county,05000US20021,10286,9619,10243,10423,10579
"Cheyenne County, KS",county,05000US20023,9575,11560,11405,10983,11649
"Clark County, KS",county,05000US20025,13005,12142,11980,12426,11885
"Clay County, KS",county,05000US20027,8249,8628,9687,9952,10162
"Cloud County, KS",county,05000US20029,9382,8949,9285,9086,8924
"Coffey County, KS",county,05000US20031,7986,8943,9250,8589,8907
"Comanche County, KS",county,05000US20033,10569,7774,8677,9329,10154
"Cowley County, KS",county,05000US20035,7959,8293,8367,8346,8600
"Crawford County, KS",county,05000US20037,10889,10578,10491,10088,9997
"Decatur County, KS",county,05000US20039,10501,10177,10579,10314,11027
"Dickinson County, KS",county,05000US20041,7316,7558,7671,9300,9045
"Doniphan County, KS",county,05000US20043,10212,9592,8917,8879,8651
"Douglas County, KS",county,05000US20045,8229,8465,8254,8232,8290
"Edwards County, KS",county,05000US20047,9342,11826,11819,12217,10202
"Elk County, KS",county,05000US20049,9353,10025,8866,8797,9787
"Ellis County, KS",county,05000US20051,9748,9755,9938,9209,9628
"Ellsworth County, KS",county,05000US20053,9899,11455,10710,11889,10727
"Finney County, KS",county,05000US20055,8396,8186,8114,8505,7679
"Ford County, KS",county,05000US20057,7578,8389,9050,8424,8863
"Franklin County, KS",county,05000US20059,9495,8871,9309,9665,8850
"Geary County, KS",county,05000US20061,7725,8427,8585,8182,8846
"Gove County, KS",county,05000US20063,12259,10827,12322,11183,12716
"Graham County, KS",county,05000US20065,9453,11513,12596,12234,12111
"Grant County, KS",county,05000US20067,8268,7803,7311,6556,7536
"Gray County, KS",county,05000US20069,7902,7841,7394,7285,7344
"Greeley County, KS",county,05000US20071,11079,12377,12254,12090,11890
"Greenwood County, KS",county,05000US20073,12005,11216,11287,10472,11357
"Hamilton County, KS",county,05000US20075,12529,12875,13166,10502,10707
"Harper County, KS",county,05000US20077,10349,9225,10345,11228,11006
"Harvey County, KS",county,05000US20079,8467,8495,8293,8627,8660
"Haskell County, KS",county,05000US20081,9932,8811,10243,11107,11242
"Hodgeman County, KS",county,05000US20083,8217,8529,7149,8797,10906
"Jackson County, KS",county,05000US20085,8711,8876,9488,9686,10216
"Jefferson County, KS",county,05000US20087,7985,8913,9225,8763,8087
"Jewell County, KS",county,05000US20089,7971,9836,9690,11048,11253
"Johnson County, KS",county,05000US20091,9528,9472,9523,9366,9731
"Kearny County, KS",county,05000US20093,8854,9926,9750,9911,9742
"Kingman County, KS",county,05000US20095,9926,11178,12193,10817,12295
"Kiowa County, KS",county,05000US20097,8909,8853,9321,8960,7931
"Labette County, KS",county,05000US20099,9392,8895,9344,9688,10129
"Lane County, KS",county,05000US20101,10563,11109,11336,10499,13397
"Leavenworth County, KS",county,05000US20103,10326,9830,9313,9308,9679
"Lincoln County, KS",county,05000US20105,13187,15208,16930,15101,15045
"Linn County, KS",county,05000US20107,9000,9848,8434,8961,9220
"Logan County, KS",county,05000US20109,11352,11528,13306,12094,13995
"Lyon County, KS",county,05000US20111,8785,8330,8637,8689,8835
"McPherson County, KS",county,05000US20113,7722,8528,8272,8412,8283
"Marion County, KS",county,05000US20115,8270,8550,9004,9189,8941
"Marshall County, KS",county,05000US20117,8518,8864,9423,10258,10096
"Meade County, KS",county,05000US20119,9617,12290,10237,10776,10584
"Miami County, KS",county,05000US20121,9564,9272,9375,9127,9481
"Mitchell County, KS",county,05000US20123,9936,11417,11441,11050,10606
"Montgomery County, KS",county,05000US20125,9682,9284,9281,9181,9041
"Morris County, KS",county,05000US20127,9333,10557,10307,8390,10491
"Morton County, KS",county,05000US20129,8630,9838,8373,8506,8923
"Nemaha County, KS",county,05000US20131,8259,8830,9086,8598,9134
"Neosho County, KS",county,05000US20133,10026,10148,10156,10738,10915
"Ness County, KS",county,05000US20135,12127,10895,11228,10398,11119
"Norton County, KS",county,05000US20137,9189,9550,9103,9689,8860
"Osage County, KS",county,05000US20139,8230,8477,8730,8715,8800
"Osborne County, KS",county,05000US20141,8702,10584,10586,9960,11040
"Ottawa County, KS",county,05000US20143,7212,9215,9202,9030,9839
"Pawnee County, KS",county,05000US20145,10469,10598,11423,11055,12233
"Phillips County, KS",county,05000US20147,9707,10864,10664,12410,12185
"Pottawatomie County, KS",county,05000US20149,8790,9567,10111,9914,10032
"Pratt County, KS",county,05000US20151,8750,9360,7838,8886,9203
"Rawlins County, KS",county,05000US20153,11207,11434,10510,12630,11202
"Reno County, KS",county,05000US20155,8490,9006,9172,8864,9129
"Republic County, KS",county,05000US20157,8176,8811,9121,8924,9233
"Rice County, KS",county,05000US20159,10604,10121,9981,9959,8949
"Riley County, KS",county,05000US20161,8160,8161,7798,8347,8104
"Rooks County, KS",county,05000US20163,10585,9373,9081,10193,10300
"Rush County, KS",county,05000US20165,10088,9275,10397,10766,10209
"Russell County, KS",county,05000US20167,10823,11067,11479,11022,11527
"Saline County, KS",county,05000US20169,7748,8386,8607,8336,8930
"Scott County, KS",county,05000US20171,11373,11459,13637,13070,12736
"Sedgwick County, KS",county,05000US20173,8944,9201,9175,9055,9162
"Seward County, KS",county,05000US20175,8932,8244,7992,8776,8852
"Shawnee County, KS",county,05000US20177,8437,9010,9145,9130,9374
"Sheridan County, KS",county,05000US20179,9947,10233,11474,11074,13440
"Sherman County, KS",county,05000US20181,9883,11255,10148,12364,11306
"Smith County, KS",county,05000US20183,7685,8642,9290,8719,9642
"Stafford County, KS",county,05000US20185,9879,9582,8615,8900,9732
"Stanton County, KS",county,05000US20187,8935,7381,8313,10828,10313
"Stevens County, KS",county,05000US20189,11192,9338,9695,9541,9156
"Sumner County, KS",county,05000US20191,7897,7509,8279,7826,7661
"Thomas County, KS",county,05000US20193,11399,11603,10403,10301,11467
"Trego County, KS",county,05000US20195,13446,17011,15402,18543,18390
"Wabaunsee County, KS",county,05000US20197,7989,7866,8271,9103,8339
"Wallace County, KS",county,05000US20199,10094,12880,17041,12681,11491
"Washington County, KS",county,05000US20201,9010,9503,9412,9138,10393
"Wichita County, KS",county,05000US20203,13390,10984,10759,9649,10291
"Wilson County, KS",county,05000US20205,11141,11465,10895,10098,10602
"Woodson County, KS",county,05000US20207,8271,10331,9987,9232,9447
"Wyandotte County, KS",county,05000US20209,9843,9817,10370,10321,10821
"Adair County, KY",county,05000US21001,12483,12778,10598,10051,10820
"Allen County, KY",county,05000US21003,9881,12200,12168,11800,12594
"Anderson County, KY",county,05000US21005,10444,9907,9299,9779,10115
"Ballard County, KY",county,05000US21007,10389,10685,10558,9550,9809
"Barren County, KY",county,05000US21009,9580,10146,10379,10040,10023
"Bath County, KY",county,05000US21011,9796,10148,10591,9988,9778
"Bell County, KY",county,05000US21013,12833,11938,11620,11159,11564
"Boone County, KY",county,05000US21015,10835,10995,11588,10861,10822
"Bourbon County, KY",county,05000US21017,9452,9959,9009,9093,9343
"Boyd County, KY",county,05000US21019,11145,11779,11568,11458,11432
"Boyle County, KY",county,05000US21021,9896,9894,9529,9324,9612
"Bracken County, KY",county,05000US21023,9222,10859,11605,11219,9999
"Breathitt County, KY",county,05000US21025,12082,12652,11232,11667,11024
"Breckinridge County, KY",county,05000US21027,10183,9909,10998,11702,11418
"Bullitt County, KY",county,05000US21029,10710,11859,11322,11221,10405
"Butler County, KY",county,05000US21031,12951,11546,13255,11952,11475
"Caldwell County, KY",county,05000US21033,10104,10287,10439,9214,9321
"Calloway County, KY",county,05000US21035,9205,9574,9023,9469,9052
"Campbell County, KY",county,05000US21037,10484,10623,10124,10263,10407
"Carlisle County, KY",county,05000US21039,10634,10647,9984,10422,10360
"Carroll County, KY",county,05000US21041,11818,11781,12214,12011,11614
"Carter County, KY",county,05000US21043,10417,10725,10830,10298,10068
"Casey County, KY",county,05000US21045,13459,13843,13489,12803,12658
"Christian County, KY",county,05000US21047,9293,9234,9660,9784,9589
"Clark County, KY",county,05000US21049,9875,10850,10432,9961,10098
"Clay County, KY",county,05000US21051,13865,14344,13995,12891,12498
"Clinton County, KY",county,05000US21053,13015,12348,13043,13109,11993
"Crittenden County, KY",county,05000US21055,11119,11714,12091,11570,12393
"Cumberland County, KY",county,05000US21057,14430,14291,15320,15586,14836
"Daviess County, KY",county,05000US21059,9968,10172,9987,9752,9729
"Edmonson County, KY",county,05000US21061,10514,11635,12097,10721,11180
"Elliott County, KY",county,05000US21063,11624,12093,11079,10365,10996
"Estill County, KY",county,05000US21065,10337,10527,10676,11039,11103
"Fayette County, KY",county,05000US21067,9439,9456,9241,8967,9083
"Fleming County, KY",county,05000US21069,10637,10287,11061,11661,10426
"Floyd County, KY",county,05000US21071,12899,12157,12955,12795,12499
"Franklin County, KY",county,05000US21073,11726,11785,12196,13856,13562
"Fulton County, KY",county,05000US21075,9733,10240,10750,10443,11136
"Gallatin County, KY",county,05000US21077,12180,13912,13837,13021,11777
"Garrard County, KY",county,05000US21079,9717,9628,9400,9767,9793
"Grant County, KY",county,05000US21081,10522,10512,10541,11246,11052
"Graves County, KY",county,05000US21083,10441,10544,10630,10239,10888
"Grayson County, KY",county,05000US21085,10528,10622,11050,11254,11197
"Green County, KY",county,05000US21087,13392,12713,12516,12848,11578
"Greenup County, KY",county,05000US21089,12323,12452,12389,11952,11572
"Hancock County, KY",county,05000US21091,9869,10237,9323,9471,9088
"Hardin County, KY",county,05000US21093,10212,9851,9924,9985,9607
"Harlan County, KY",county,05000US21095,11800,12371,11900,11184,10833
"Harrison County, KY",county,05000US21097,9452,9910,9552,9178,9857
"Hart County, KY",county,05000US21099,11682,11374,11237,11431,11084
"Henderson County, KY",county,05000US21101,10759,10742,10371,10618,10562
"Henry County, KY",county,05000US21103,10499,12250,11517,10188,10894
"Hickman County, KY",county,05000US21105,11210,11141,8677,10633,10503
"Hopkins County, KY",county,05000US21107,9304,8910,9666,9108,9312
"Jackson County, KY",county,05000US21109,10577,10566,10611,10324,9851
"Jefferson County, KY",county,05000US21111,10073,10257,10089,9747,9665
"Jessamine County, KY",county,05000US21113,9510,9203,9239,9322,8825
"Johnson County, KY",county,05000US21115,11670,12038,12334,11684,11216
"Kenton County, KY",county,05000US21117,10489,10327,10322,10211,10202
"Knott County, KY",county,05000US21119,13560,13641,14540,11698,11489
"Knox County, KY",county,05000US21121,11010,11467,11001,10798,11335
"Larue County, KY",county,05000US21123,9851,9772,10307,10111,9331
"Laurel County, KY",county,05000US21125,10917,11386,9982,10149,9972
"Lawrence County, KY",county,05000US21127,12303,12085,10899,10912,10383
"Lee County, KY",county,05000US21129,9658,11210,9157,11262,10944
"Leslie County, KY",county,05000US21131,15007,13776,14104,12738,13500
"Letcher County, KY",county,05000US21133,12697,12670,12373,11876,11789
"Lewis County, KY",county,05000US21135,11449,10305,10761,10800,10510
"Lincoln County, KY",county,05000US21137,9981,10297,10239,10175,10011
"Livingston County, KY",county,05000US21139,11162,10991,11515,11329,10851
"Logan County, KY",county,05000US21141,10306,10781,11054,11154,10737
"Lyon County, KY",county,05000US21143,10177,10837,10909,9801,10040
"McCracken County, KY",county,05000US21145,10426,10384,10327,9822,9502
"McCreary County, KY",county,05000US21147,10486,11250,11596,10935,10794
"McLean County, KY",county,05000US21149,9747,11004,9774,9259,9787
"Madison County, KY",county,05000US21151,9851,10198,10172,9816,9801
"Magoffin County, KY",county,05000US21153,11873,11827,12982,12399,13182
"Marion County, KY",county,05000US21155,8920,9974,9726,9440,9325
"Marshall County, KY",county,05000US21157,10220,10576,11046,10347,10069
"Martin County, KY",county,05000US21159,12815,12961,13332,12148,12735
"Mason County, KY",county,05000US21161,9569,8801,9348,9767,9870
"Meade County, KY",county,05000US21163,10735,10278,10007,10398,10316
"Menifee County, KY",county,05000US21165,9466,9311,9074,9651,9402
"Mercer County, KY",county,05000US21167,10453,10075,10114,10962,10600
"Metcalfe County, KY",county,05000US21169,10628,9486,10090,10622,10976
"Monroe County, KY",county,05000US21171,11892,13271,11820,10861,11864
"Montgomery County, KY",county,05000US21173,10114,11118,10133,9637,10694
"Morgan County, KY",county,05000US21175,11222,12091,10926,11479,12314
"Muhlenberg County, KY",county,05000US21177,9797,9726,10620,10153,9845
"Nelson County, KY",county,05000US21179,9820,9713,10125,10001,10174
"Nicholas County, KY",county,05000US21181,9728,11444,11818,11540,9943
"Ohio County, KY",county,05000US21183,10667,10766,10260,10653,9753
"Oldham County, KY",county,05000US21185,10926,9910,9980,10036,9682
"Owen County, KY",county,05000US21187,13558,12945,13037,12948,11780
"Owsley County, KY",county,05000US21189,11434,13367,12225,11859,10531
"Pendleton County, KY",county,05000US21191,9742,10824,10652,9753,9851
"Perry County, KY",county,05000US21193,13799,12881,13172,12258,12574
"Pike County, KY",county,05000US21195,11104,11445,10955,11574,11098
"Powell County, KY",county,05000US21197,9856,11149,11980,10639,11379
"Pulaski County, KY",county,05000US21199,9821,9894,9605,9808,9879
"Robertson County, KY",county,05000US21201,11334,12755,11474,10907,10201
"Rockcastle County, KY",county,05000US21203,11086,11715,9953,10459,10473
"Rowan County, KY",county,05000US21205,10880,11284,10974,10268,11355
"Russell County, KY",county,05000US21207,10318,10147,10226,10514,10156
"Scott County, KY",county,05000US21209,9333,9420,9772,9921,9883
"Shelby County, KY",county,05000US21211,10706,10908,10722,9925,10163
"Simpson County, KY",county,05000US21213,10954,12013,12375,11889,12962
"Spencer County, KY",county,05000US21215,12008,11212,10491,10465,11292
"Taylor County, KY",county,05000US21217,11068,11376,11031,10642,10625
"Todd County, KY",county,05000US21219,11133,11383,10764,10382,10164
"Trigg County, KY",county,05000US21221,10034,10813,11219,10464,10033
"Trimble County, KY",county,05000US21223,11533,12357,13203,11575,11182
